sport,from,suggested_to,score
cfb,Appalachian State,App State,0.333
cfb,Northwestern,Northwestern,1.000
cfb,Boston College,Boston College,1.000
cfb,James Madison,James Madison,1.000
cfb,Arkansas State,Arkansas State,1.000
cfb,Army,Army,1.000
cfb,Mississippi State,Mississippi State,1.000
cfb,Georgia,Georgia,1.000
cfb,Stony Brook,Air Force,0.000
cfb,North Carolina A&T,North Carolina,0.500
cfb,Colorado,Colorado,1.000
cfb,Penn State,Penn State,1.000
cfb,Missouri State,Missouri State,1.000
cfb,The Citadel,The Citadel,1.000
cfb,Purdue,Purdue,1.000
cfb,South Carolina State,App State,0.250
cfb,Howard,Air Force,0.000
cfb,Rice,Rice,1.000
cfb,UT Martin,Air Force,0.000
cfb,Tennessee State,App State,0.333
cfb,Rutgers,Rutgers,1.000
cfb,Maryland,Maryland,1.000
cfb,Jacksonville State,Jacksonville State,1.000
cfb,Middle Tennessee,Middle Tennessee,1.000
cfb,Mississippi Valley State,Mississippi State,0.667
cfb,Jackson State,App State,0.333
cfb,Missouri,Missouri,1.000
cfb,Iowa,Iowa,1.000
cfb,Oregon,Oregon,1.000
cfb,UConn,UConn,1.000
cfb,Duke,Duke,1.000
cfb,Miami,Miami,1.000
cfb,Arizona,Arizona,1.000
cfb,Kansas,Kansas,1.000
cfb,New Mexico State,New Mexico State,1.000
cfb,Kennesaw State,Kennesaw State,1.000
cfb,Coastal Carolina,Coastal Carolina,1.000
cfb,Alcorn State,App State,0.333
cfb,Southern,Georgia Southern,0.500
cfb,Vanderbilt,Vanderbilt,1.000
cfb,Auburn,Auburn,1.000
cfb,Wisconsin,Wisconsin,1.000
cfb,Washington,Washington,1.000
cfb,North Carolina,North Carolina,1.000
cfb,Louisiana,Louisiana,1.000
cfb,Air Force,Air Force,1.000
cfb,Clemson,Clemson,1.000
cfb,Florida State,Florida State,1.000
cfb,California,California,1.000
cfb,Alabama,Alabama,1.000
cfb,Notre Dame,Notre Dame,1.000
cfb,Florida,Florida,1.000
cfb,Nebraska,Nebraska,1.000
cfb,Sam Houston State,Sam Houston,0.667
cfb,San Diego State,San Diego State,1.000
cfb,Kent State Golden Flashes,Kent State,0.500
cfb,Ball State Cardinals,Ball State,0.667
cfb,Northern Illinois Huskies,Northern Illinois,0.667
cfb,Toledo Rockets,Toledo,0.500
cfb,Your,Air Force,0.000
