sport,from,suggested_to,score
epl,Charleston,,0.000
epl,Hartford,,0.000
epl,Ipswich,Ipswich Town,0.500
epl,Liverpool,Liverpool,1.000
epl,Bay FC,,0.000
epl,Kansas City,,0.000
epl,Nottingham Forest,Nottingham Forest,1.000
epl,Manchester City,Manchester City,1.000
epl,Coventry City,Coventry City,1.000
epl,Hull City,Hull City,1.000
epl,Aston Villa,Aston Villa,1.000
epl,Philadelphia,,0.000
epl,CF,,0.000
epl,Inter,,0.000
epl,Atlanta,,0.000
epl,Real,,0.000
epl,LAFC,,0.000
epl,Everton,Everton,1.000
epl,Manchester United,Manchester United,1.000
epl,Arsenal,Arsenal,1.000
epl,Chelsea,Chelsea,1.000
epl,Chicago,,0.000
epl,Orlando,,0.000
epl,Fulham,Fulham,1.000
epl,Sunderland,Sunderland,1.000
epl,Nashville,,0.000
epl,New England,,0.000
epl,Charleston Battery,,0.000
epl,Hartford Athletic,,0.000
epl,Kansas City Current,,0.000
epl,Philadelphia Union,,0.000
epl,Inter Miami CF,,0.000
epl,Atlanta United,,0.000
epl,Orlando Pride,,0.000
epl,Your radio,,0.000
