sport,from,suggested_to,score
mls,Inter,Inter Miami CF,0.333
mls,LA,LA Galaxy,0.500
mls,FC Dallas,FC Dallas,1.000
mls,Charlotte FC,Charlotte FC,1.000
mls,Pumas UNAM,Atlanta United FC,0.000
mls,Tigres UANL,Atlanta United FC,0.000
mls,Real,Real Salt Lake,0.333
mls,Atletico San Luis,San Diego FC,0.200
mls,Guadalajara,Atlanta United FC,0.000
mls,New York City,Red Bull New York,0.400
mls,Santos Laguna,Atlanta United FC,0.000
mls,Club America,Atlanta United FC,0.000
mls,San Diego FC,San Diego FC,1.000
mls,NJ/NY Gotham FC,Austin FC,0.200
mls,San Diego Wave FC,San Diego FC,0.750
mls,FC Juarez,Austin FC,0.333
mls,Monterrey,Atlanta United FC,0.000
mls,Atlante,Atlanta United FC,0.000
mls,Indy,Atlanta United FC,0.000
mls,Hartford,Atlanta United FC,0.000
mls,Chicago,Chicago Fire FC,0.333
mls,Inter Miami CF,Inter Miami CF,1.000
mls,Columbus Crew SC,Columbus Crew,0.667
mls,Real Salt Lake,Real Salt Lake,1.000
mls,New York City FC,Red Bull New York,0.333
mls,Vancouver Whitecaps,Vancouver Whitecaps,1.000
mls,Indy Eleven,Atlanta United FC,0.000
mls,Hartford Athletic,Atlanta United FC,0.000
mls,Portland Timbers,Portland Timbers,1.000
mls,Your radio,Atlanta United FC,0.000
