sport,from,suggested_to,score
ncaab,Georgia Bulldogs,Georgia,0.500
ncaab,Florida Gators,Florida,0.500
ncaab,Syracuse Orange,Akron,0.000
ncaab,Georgia Tech Yellow Jackets,Georgia,0.250
ncaab,Michigan Wolverines,Michigan,0.500
ncaab,Penn State Nittany Lions,Penn State,0.500
ncaab,Duke Blue Devils,Duke,0.333
ncaab,Louisville Cardinals,Louisville,0.500
ncaab,South Carolina Gamecocks,South Carolina,0.667
ncaab,LSU Tigers,LSU,0.500
ncaab,St. John's Red Storm,Mount St. Mary's,0.286
ncaab,Butler Bulldogs,Akron,0.000
ncaab,Cincinnati Bearcats,Cincinnati,0.500
ncaab,West Virginia Mountaineers,West Virginia,0.667
ncaab,Georgetown Hoyas,Akron,0.000
ncaab,DePaul Blue Demons,DePaul,0.333
ncaab,UCF Knights,UCF,0.500
ncaab,Oklahoma State Cowboys,Oklahoma State,0.667
ncaab,Iowa Hawkeyes,Iowa,0.500
ncaab,Minnesota Golden Gophers,Minnesota,0.333
ncaab,Texas A&M Aggies,East Texas A&M,0.600
ncaab,Auburn Tigers,Auburn,0.500
ncaab,Texas Longhorns,Texas,0.500
ncaab,Tennessee Volunteers,Tennessee,0.500
ncaab,NC State Wolfpack,Alabama State,0.250
ncaab,Boston College Eagles,Boston College,0.667
ncaab,UCLA Bruins,Akron,0.000
ncaab,Wisconsin Badgers,Wisconsin,0.500
ncaab,Texas Tech Red Raiders,Texas Tech,0.500
ncaab,Houston Cougars,Houston,0.500
ncaab,TCU Horned Frogs,TCU,0.333
ncaab,Kansas Jayhawks,Kansas,0.500
ncaab,UNLV Runnin' Rebels,UNLV,0.333
ncaab,Wyoming Cowboys,Akron,0.000
ncaab,San Diego State Aztecs,Alabama State,0.200
ncaab,Nevada Wolf Pack,Akron,0.000
ncaab,Your,Akron,0.000
ncaab,Florida,Florida,1.000
ncaab,Georgia,Georgia,1.000
ncaab,Georgia Tech,Georgia,0.500
ncaab,Syracuse,Akron,0.000
ncaab,Penn State,Penn State,1.000
ncaab,Michigan,Michigan,1.000
ncaab,Louisville,Louisville,1.000
ncaab,Duke,Duke,1.000
ncaab,South Carolina,South Carolina,1.000
ncaab,Butler,Akron,0.000
ncaab,St. John's,Mount St. Mary's,0.400
ncaab,West Virginia,West Virginia,1.000
ncaab,Cincinnati,Cincinnati,1.000
ncaab,DePaul,DePaul,1.000
ncaab,Georgetown,Akron,0.000
ncaab,Oklahoma State,Oklahoma State,1.000
ncaab,Minnesota,Minnesota,1.000
ncaab,Iowa,Iowa,1.000
ncaab,Auburn,Auburn,1.000
ncaab,Tennessee,Tennessee,1.000
ncaab,Texas,Texas,1.000
ncaab,Boston College,Boston College,1.000
ncaab,Wisconsin,Wisconsin,1.000
ncaab,Houston,Houston,1.000
ncaab,Texas Tech,Texas Tech,1.000
ncaab,Kansas,Kansas,1.000
ncaab,TCU,TCU,1.000
ncaab,Wyoming,Akron,0.000
ncaab,Nevada,Akron,0.000
ncaab,San Diego State,Alabama State,0.250
ncaab,Maryland,Maryland Eastern Shore,0.333
ncaab,Indiana,Indiana,1.000
ncaab,Wake Forest,Wake Forest,1.000
ncaab,Miami,Miami (OH),0.500
ncaab,Kentucky,Northern Kentucky,0.500
ncaab,Missouri,Akron,0.000
ncaab,Mississippi State,Mississippi Valley State,0.667
ncaab,Oklahoma,Oklahoma State,0.500
ncaab,Providence,Providence,1.000
ncaab,Virginia Tech,Virginia,0.500
ncaab,Stanford,Stanford,1.000
ncaab,Marquette,Akron,0.000
ncaab,Xavier,Akron,0.000
ncaab,Villanova,Akron,0.000
ncaab,Creighton,Akron,0.000
ncaab,Baylor,Baylor,1.000
ncaab,Iowa State,Iowa State,1.000
ncaab,Purdue,Purdue,1.000
ncaab,Washington,Washington,1.000
ncaab,Arizona,Arizona,1.000
ncaab,Kansas State,Kansas State,1.000
ncaab,Arizona State,Arizona State,1.000
ncaab,Clemson,Clemson,1.000
ncaab,SMU,SMU,1.000
ncaab,Colorado,Colorado,1.000
ncaab,Utah,Utah,1.000
ncaab,Vanderbilt,Vanderbilt,1.000
ncaab,Alabama,Alabama,1.000
ncaab,Virginia,Virginia,1.000
ncaab,California,California,1.000
ncaab,Arkansas,Arkansas,1.000
ncaab,Boise State,Alabama State,0.333
ncaab,Grand Canyon,Akron,0.000
ncaab,Michigan State,Michigan State,1.000
ncaab,Northwestern,Northwestern,1.000
ncaab,Illinois,Illinois,1.000
ncaab,Rutgers,Rutgers,1.000
ncaab,Oregon State,Alabama State,0.333
ncaab,Seattle,Akron,0.000
ncaab,Oregon,Akron,0.000
ncaab,Ohio State,Alabama State,0.333
ncaab,Gonzaga,Gonzaga,1.000
ncaab,Santa Clara,Santa Clara,1.000
ncaab,Colorado State,Colorado State,1.000
ncaab,Nebraska,Nebraska,1.000
ncaab,Florida State,Florida,0.500
ncaab,Pittsburgh,Akron,0.000
ncaab,Saint Mary's,Saint Peter's,0.500
ncaab,Washington State,Washington,0.500
ncaab,North Carolina,North Carolina,1.000
ncaab,Seton Hall,Akron,0.000
ncaab,Notre Dame,Akron,0.000
ncaab,Portland,Akron,0.000
ncaab,Utah State,Utah,0.500
ncaab,Fresno State,Alabama State,0.333
